study,cell,original_cell,task,side,terminal,native_reward,functional_tests,known_input,known_output,known_total,unknown_usage_requests,known_cache_read,known_reasoning,requests,native_execution_seconds,wrapper_execution_seconds,queue_seconds,oom_events,flags,manual_finding
v9,0043,0043,deepswe-1.1/kcp-go-multiplexed-kcp-streams,baseline,True,,unknown,0,0,0,0,0,0,0,,,141.17197992908768,0,network_start_failure;score_missing,
v9,0044,0044,deepswe-1.1/boa-hierarchical-evaluation-cancellation,baseline,True,,unknown,0,0,0,0,0,0,0,,,143.0868376159342,0,network_start_failure;score_missing,
v9,0045,0045,deepswe-1.1/boa-hierarchical-evaluation-cancellation,candidate,True,,unknown,0,0,0,0,0,0,0,,,132.40488500194624,0,network_start_failure;score_missing,
v9,0046,0046,deepswe-1.1/kgateway-consistent-hash-policy,candidate,True,,unknown,0,0,0,0,0,0,0,,,97.61004773399327,0,network_start_failure;score_missing,
v9,0047,0047,deepswe-1.1/kgateway-consistent-hash-policy,baseline,True,,unknown,0,0,0,0,0,0,0,,,134.66327725094743,0,network_start_failure;score_missing,
v10,0000,0002,deepswe-1.1/drizzle-orm-window-function-builders,candidate,True,1.0,started,2155842,23093,2178935,0,1942272,7457,42,,829.969,1407.52645574708,0,,Candidate Drizzle completed with native reward 1: all 696 tests passed (130 F2P and 566 P2P). Cleanup complete. Baseline V9 reward 0 has four SingleStore named-window failures; preserve the different evaluator/run provenance when comparing this pair.
v10,0001,0006,deepswe-1.1/superjson-error-stack-serialization,candidate,True,0.0,started,3247190,23341,3270531,0,3050368,8584,59,,974.959,1266.732049524784,0,functional_test_failures,"Candidate SuperJSON completed with native reward 0: 191 tests passed, 5 failed (75/80 F2P and 116/116 P2P). Failed checks cover AggregateError.errors serialization/restoration/Error instances, sanitizeMessage on a cause rejected by classFilter, and redactPaths/maxStackLines/stripInternalFrames ordering. Four failures overlap the baseline; the fifth differs. No native execution error or verifier setup failure observed; cleanup complete."
v10,0002,0007,deepswe-1.1/superjson-error-stack-serialization,baseline,True,0.0,started,1621672,19965,1641637,0,1227200,8820,47,635.485,638.836,398.4803492981009,0,functional_test_failures,"Baseline SuperJSON native execution completed, reward 0; 191 tests pass and 5 fail (75/80 F2P, 116/116 P2P). Failed checks cover AggregateError.errors serialization/restoration/Error instances, maxCauseDepth=0, and redactPaths/maxStackLines/stripInternalFrames ordering. No native execution error, verifier setup error or observer-timeout diagnostic observed. All 47 requests reconcile; cleanup complete."
v10,0003,0008,deepswe-1.1/bandit-incremental-cache-control,baseline,True,1.0,started,6485342,27590,6512932,0,5488640,5539,117,1253.057,1254.267,1068.9760397230275,0,,Baseline Bandit completed with native reward 1: all 363 tests passed (88 F2P and 275 P2P). Cleanup complete.
v10,0004,0009,deepswe-1.1/bandit-incremental-cache-control,candidate,True,0.0,started,5504586,22786,5527372,0,5239552,6413,84,,1006.669,5.748391528963111,0,functional_test_failures,"Candidate Bandit native execution completed, reward 0; 362 tests pass and 1 fails (87/88 F2P, 275/275 P2P). cache-stats prints cache file size (bytes), whose normalized label contains parentheses, instead of the required cache_file_size_bytes label. This is a native functional-test output-format mismatch; no native execution, verifier setup or observer-timeout error observed. All 84 requests reconcile; cleanup complete."
v10,0005,0010,deepswe-1.1/mobly-grouped-test-barriers,candidate,True,1.0,started,5550172,36316,5586488,0,5084736,18300,79,,1342.232,3.0452489701565355,0,,"Candidate Mobly completed with native reward 1: all 887 tests passed (79 F2P and 808 P2P). Original baseline remains the V9 transport-interrupted reward 0, so this pair is not an uncontaminated quality comparison. Cleanup complete; no replay of the baseline."
v10,0006,0012,deepswe-1.1/sqlfmt-create-table-ddl-formatting,baseline,True,0.0,started,12397983,65996,12463979,0,10702848,44508,175,2742.004,2743.675,10.759645982994698,0,functional_test_failures,"Baseline SQLFmt completed with native reward 0: 1298 tests passed and 7 failed (27/32 F2P,1271/1273 P2P). Four fixture checks detect an extra space in CHECK expressions before the IN parenthesis (two idempotence and two formatting). Three DdlTable checks receive column-name strings instead of DdlColumn objects. No native execution or verifier setup error observed; cleanup complete."
v10,0007,0013,deepswe-1.1/sqlfmt-create-table-ddl-formatting,candidate,True,0.0,started,8154606,46436,8201042,0,7332480,30241,100,,2005.982,45.15304788900539,0,functional_test_failures,"Candidate SQLFmt completed with native reward 0: 1294 tests passed and 11 failed (25/32 F2P and 1269/1273 P2P). Eight fixture checks report the missing space before the CREATE TABLE opening parenthesis (four idempotence, four formatting). Three DdlTable checks receive column-name strings instead of DdlColumn objects for constrained/unconstrained columns. No native execution error or verifier setup failure observed; cleanup complete."
v10,0008,0018,deepswe-1.1/fd-deterministic-multi-key-sorting,candidate,True,0.0,started,9250758,54418,9305176,0,8486016,21343,125,,2105.393,30.95767817401793,0,functional_test_failures,"Candidate fd completed with native reward 0: 151 tests passed and 1 failed (42/43 F2P,109/109 P2P). Natural sorting with leading zeros outputs file7.txt before file007.txt, while the native test expects file007.txt before file7.txt after numeric equality. No native execution error, verifier setup error or observer-timeout diagnostic observed; cleanup complete."
v10,0009,0019,deepswe-1.1/fd-deterministic-multi-key-sorting,baseline,True,0.0,started,8370340,57747,8428087,0,6586048,23271,177,2318.71,2322.67,23.572347526904196,0,functional_test_failures,"Baseline fd completed with native reward 0: 151 tests passed and 1 failed (42/43 F2P,109/109 P2P). Like the candidate, natural sorting emits file7.txt before file007.txt rather than the expected lexical tie-break order after equal numeric values. No native execution or verifier setup error observed; cleanup complete."
v10,0010,0033,deepswe-1.1/valibot-recursive-schema-composition,candidate,True,1.0,started,9380782,104244,9485026,0,6256576,70523,81,,4118.563,34.368411432020366,0,,"Candidate Valibot completed with native reward 1: all 219 tests passed (10 F2P,209 P2P). Cleanup complete. Baseline V9 remains the observer-timeout-interrupted result; this pair cannot establish an uncontaminated quality comparison."
v10,0011,0036,deepswe-1.1/katex-multicolumn-array-spans,baseline,True,1.0,started,17053773,58813,17112586,0,13746368,38996,205,2851.767,2854.304,39.41028200893197,0,,"Baseline KaTeX completed with native reward 1: all 693 tests passed (94 F2P,599 P2P). Cleanup complete."
v10,0012,0037,deepswe-1.1/katex-multicolumn-array-spans,candidate,True,0.0,started,16750168,46499,16796667,0,13762752,31252,164,,2797.848,20.265558590181172,0,functional_test_failures,"Candidate KaTeX completed with native reward 0: 691 tests passed and 2 failed (92/94 F2P,599/599 P2P). The colspan=0 and multicolumn-outside-array error checks expect an error marker of 1 but receive null. No native execution or verifier setup error observed; cleanup complete."
v10,0013,0040,deepswe-1.1/dasel-html-document-format,baseline,True,1.0,started,6964865,31655,6996520,0,5740096,6789,144,1308.8,1311.181,784.5870060290908,0,,Baseline dasel completed with native reward 1: all 1158 tests passed (146 F2P and 1012 P2P). Cleanup complete. Both sides of dasel now have successful supplemented results while their original network failures remain recorded.
v10,0014,0041,deepswe-1.1/dasel-html-document-format,candidate,True,1.0,started,3447173,24420,3471593,0,2901440,7754,59,,1174.576,152.24576647707727,0,,Candidate dasel completed with native reward 1: all 1158 tests passed (146 F2P and 1012 P2P). Cleanup complete.
v10,0015,0042,deepswe-1.1/kcp-go-multiplexed-kcp-streams,candidate,True,0.0,started,19344650,51529,19396179,0,13449600,19381,207,,4011.658,46.24796068202704,0,functional_test_failures;test_results_missing,"Candidate kcp-go native execution completed, reward 0. Raw Go events show 15 test starts and 14 passes: 12 P2P and 2 F2P. TestMuxPriorityPreemption remains active until the native Go test program panics at its three-minute timeout. The consolidated CTRF marks 28 missing results as failed: one started test has no result and 27 others have no observed start. This is an incomplete native functional suite, not 28 executed failing assertions. The native test-program limit is separate from the unchanged 10800-second outer grading budget. Cleanup complete."
v10,0016,0043,deepswe-1.1/kcp-go-multiplexed-kcp-streams,baseline,True,1.0,started,6133021,22433,6155454,0,4468544,4530,103,1310.423,1313.236,1454.493574236054,0,,"Baseline kcp-go completed with native reward 1: all 42 tests passed (30 F2P,12 P2P). Cleanup complete."
v10,0017,0044,deepswe-1.1/boa-hierarchical-evaluation-cancellation,baseline,True,0.0,not_started,23000354,60497,23060851,0,18434240,26681,220,3011.617,3012.901,13.607382348855026,0,verifier_setup_failure;test_results_missing;native_test_start_inference_disagrees_with_manual_review,"Baseline Boa native execution completed and retained a patch, but verifier dependency setup failed: cargo metadata could not download husky-rs 0.3.3 because static.crates.io DNS resolution failed. Native reward 0 is retained. All 24 CTRF failed entries are synthesized missing-from-report placeholders (17 F2P,7 P2P), not executed failing tests. Frozen grading incorrectly inferred functional_tests=started from these entries; independent manual review establishes no functional tests ran. No claim that the model solution is incorrect can be drawn from this verifier result. Archive/request reconciliation and cleanup complete."
v10,0018,0045,deepswe-1.1/boa-hierarchical-evaluation-cancellation,candidate,True,1.0,started,9021373,42678,9064051,0,6590784,20270,121,,2950.913,25.965066659846343,0,,"Candidate Boa completed with native reward 1: all 24 tests passed (17 F2P,7 P2P). No native execution or verifier setup error observed; cleanup complete. Baseline supplementary reward 0 came from DNS dependency setup and synthesized missing-test results, so this pair does not demonstrate a model-solving advantage."
v10,0019,0046,deepswe-1.1/kgateway-consistent-hash-policy,candidate,True,0.0,started,7210919,29609,7240528,0,6530688,9747,106,,1664.623,2132.937350363005,0,functional_test_failures,"Candidate kgateway native execution completed, reward 0: 214 P2P entries pass and the TestConsistentHash parent plus consistent_hash_config subtest fail. TrafficPolicy validation rejects two cookie attribute entries because their value fields are required, so the intended valueless cookie flags cannot pass the test. These are parent/subtest records of one failing scenario, not two independent scenarios. No native execution or verifier setup error observed; cleanup complete."
v10,0020,0047,deepswe-1.1/kgateway-consistent-hash-policy,baseline,True,0.0,started,8196244,24045,8220289,0,7080512,6654,117,1564.796,1567.002,670.5066534169018,0,functional_test_failures,"Baseline kgateway native execution completed, reward 0: 214 P2P entries pass and the two F2P entries TestConsistentHash plus consistent_hash_config fail. The parent and subtest refer to the same golden translation-result mismatch, not two independent scenarios. No native execution or verifier setup error observed; cleanup complete. The golden diff removes expected broader-policy contributions and header/cookie/query-parameter hash entries for merged policies."
