study,cell,original_cell,task,side,selected_for_24_pair_view,terminal,native_reward,functional_tests,reported_functional_tests,native_tests,failed_tests,cleanup_status,resources_removed,archive_readable,requests,known_input,known_output,known_total,unknown_usage_requests,known_cache_read,unknown_cache_read_requests,known_cache_write,unknown_cache_write_requests,known_reasoning,native_execution_seconds,wrapper_execution_seconds,verifier_stage_seconds,queue_seconds,preparation_queue_seconds,agent_queue_seconds,verifier_queue_seconds,request_interval_union_seconds,time_before_first_data_union_seconds,first_data_p50_seconds,first_data_p95_seconds,request_p50_seconds,request_p95_seconds,oom_events,flags,manual_finding,evidence_sha256
v9,0011,0011,deepswe-1.1/mobly-grouped-test-barriers,baseline,False,True,0.0,started,started,"{""passed"":808,""failed"":79}","[""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_barrier_reuse_same_name_different_tests"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_barrier_reused_twice_in_same_method_creates_distinct_rendezvous"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_barrier_synchronizes_within_same_group"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_barrier_timeout_cleans_up_and_raises_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_barrier_timeout_does_not_crash"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_barriers_do_not_leak_between_test_cases"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_barriers_do_not_sync_across_different_test_classes"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_concurrent_barrier_calls_with_same_name_synchronize"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_concurrent_execution_within_group"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_current_device_id_with_dict_configs"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_current_device_id_with_missing_id_key"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_device_context_in_single_device_config"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_device_group_isolation"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_devices_without_group_form_single_default_group"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_empty_controller_configs"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_empty_device_group_skips_group_phases"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_execution_phase_failure_skips_remaining_phases"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_explicit_mode_expect_failure_attributed_to_correct_participant_record"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_explicit_mode_records_keep_unsuffixed_test_names"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_global_setup_exception_creates_error_record"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_global_setup_executes_once_before_all_devices"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_global_setup_failure_aborts_all_tests"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_global_setup_has_no_device_context"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_global_teardown_exception_creates_error_record"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_global_teardown_exception_does_not_hide_test_failure"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_global_teardown_executes_even_on_test_failure"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_global_teardown_executes_once_after_all_devices"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_global_teardown_has_no_device_context"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_global_teardown_runs_even_when_global_setup_fails"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_cascade_isolation"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_setup_current_device_is_first_element"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_setup_device_id_with_non_dict_configs"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_setup_exception_recorded_per_group"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_setup_executes_per_device_group"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_setup_has_device_context"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_setup_receives_device_list"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_setup_returning_false_skips_tests_and_runs_teardown"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_teardown_current_device_is_first_element"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_teardown_device_id_with_missing_id_key"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_teardown_exception_does_not_hide_test_failure"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_teardown_executes_after_group_tests"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_teardown_executes_on_setup_failure"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_teardown_executes_on_test_failure"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_group_teardown_has_device_context"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_implicit_mode_synchronized_calls_are_noops_in_test_method"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_implicit_mode_test_method_has_first_device_context"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_multiple_groups_execute_independently"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_no_group_phases_without_controllers"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_non_dict_controller_configs"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_phase_execution_order_is_correct"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_phase_order_maintained_across_multiple_groups"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_registered_controller_objects_provide_runtime_device_context"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_same_barrier_name_does_not_sync_across_groups"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_setup_class_and_teardown_class_execute_once_with_grouped_devices"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_barriers_in_no_device_mode"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_calls_do_not_block_in_group_phases"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_from_global_setup_raises_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_from_global_teardown_raises_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_from_teardown_class_raises_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_in_group_setup"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_in_group_teardown"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_manager_works"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_negative_timeout_raises_value_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_only_syncs_on_entry"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_reuse_same_name_different_tests"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_with_multiple_named_barriers"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_context_zero_timeout_raises_test_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_step_allowed_in_group_phases"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_step_allowed_in_group_teardown"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_step_from_global_teardown_raises_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_step_from_setup_class_raises_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_step_from_teardown_class_raises_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_step_from_wrong_phase_raises_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_step_negative_timeout_raises_value_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_step_positive_timeout_succeeds"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_step_with_named_barriers"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_synchronized_step_zero_timeout_raises_test_error"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_teardown_class_abort_all_preserves_existing_behavior"",""[f2p] tests.mobly.execution_phases_test.ExecutionPhasesTest.test_tests_skipped_when_group_setup_fails""]",completed,True,True,70,5234701,176032,5410733,0,4209664,0,0,70,22224,1907.864,1959.5,11.14099535101559,54.85253153683152,0.01629716798197478,54.80336748296395,0.03282652993220836,1912.0916557312012,313.48855662345886,4.866456985473633,7.663701772689819,55.18935966491699,112.86736845970154,0,native_execution_error;functional_test_failures,,4499f9c8d2896ff8791696eead5ffa8390f9fa32453ab1713a3c5099b128c695
v9,0012,0012,deepswe-1.1/sqlfmt-create-table-ddl-formatting,baseline,False,True,,unknown,unknown,{},[],completed,True,,0,0,0,0,0,0,0,0,0,0,,,,120.78009421285242,4.057078655925579,116.72296592791099,,0.0,0.0,,,,,0,network_start_failure;score_missing,,cff51b6eafd30a1d7c78bfcca37c96276bc4bb16abc8d9001afe928c714ed230
v9,0013,0013,deepswe-1.1/sqlfmt-create-table-ddl-formatting,candidate,False,True,,unknown,unknown,{},[],completed,True,,0,0,0,0,0,0,0,0,0,0,,,,126.4727794759674,3.5045842389808968,122.96815575298388,,0.0,0.0,,,,,0,network_start_failure;score_missing,,8f56c0a45ac7fcae8093f4fffa9d0b8bad44a93f545790710e2b91d361835292
v9,0014,0014,terminal-bench-2.1/compile-compcert,candidate,True,True,1.0,started,started,"{""passed"":3}",[],completed,True,True,277,16309026,16507,16325533,0,13329920,0,0,277,3020,,2908.656,1005.1067311270162,1.0949143171310425,0.00599190010689199,1.0888774039922282,,1437.6719024181366,1251.3467466831207,4.834661483764648,7.197519302368164,5.049638986587524,10.009520530700684,7,,"Candidate CompCert native reward 1, all 3 native tests passed; cleanup completed and resources removed.",93543008db563d81f904af8bf064f69d926ec0046c9a5d92ce6541c5d0199a5f
v9,0015,0015,terminal-bench-2.1/compile-compcert,baseline,True,True,1.0,started,started,"{""passed"":3}",[],completed,True,True,113,2308484,7256,2315740,0,1799168,0,0,113,2256,2905.189,2906.559,993.1116792890243,33.10301433701534,1.039499438018538,32.06347264396027,,454.1828212738037,316.48046112060547,2.012702226638794,5.543731927871704,2.933863639831543,10.277163028717041,8,,"Baseline CompCert native reward 1, all 3 native tests passed; cleanup completed and resources removed.",7172777388de91ec8fd8842faa5b13e2f5839ce49431e76c19748206777f1d1b
v9,0016,0016,terminal-bench-2.1/adaptive-rejection-sampler,baseline,False,True,0.0,started,started,"{""failed"":9}","[""test_outputs.py::test_ars_function_exists"",""test_outputs.py::test_can_generate_standard_distribution_samples"",""test_outputs.py::test_has_test_function"",""test_outputs.py::test_formal_testing_with_known_truth"",""test_outputs.py::test_sample_files_generated"",""test_outputs.py::test_implementation_is_modular"",""test_outputs.py::test_implementation_handles_errors"",""test_outputs.py::test_input_validation_functionality"",""test_outputs.py::test_log_concavity_functionality""]",completed,True,True,80,1797213,89991,1887204,1,1357696,1,0,80,7483,2980.664,3040.798,1684.1159236659296,41.95127058913931,0.7412960260407999,41.20993041200563,,1296.9866421222687,255.5168194770813,3.145712971687317,5.51922607421875,4.212874054908752,134.95789432525635,0,observer_idle_timeout_diagnostic;native_execution_error;functional_test_failures,"Baseline adaptive-rejection-sampler native APIError/ECONNRESET and exact Bun.serve 10-second request-timeout diagnostic. Native reward 0; all 9 tests failed, with ars.R absent. This has confirmed evaluator-observer interference; do not label pure solving failure. Cleanup completed and resources removed.",f2d7e23eff69277fc3c89745a855618078b93075cbd4d86b13e613dd7e60bb10
v9,0017,0017,terminal-bench-2.1/adaptive-rejection-sampler,candidate,True,True,1.0,started,started,"{""passed"":9}",[],completed,True,True,26,1083928,13461,1097389,0,939136,0,0,26,1569,,1729.073,2713.30584648496,22.12312674394343,0.005122481030412018,22.117963727912866,,345.70714139938354,114.96297264099121,4.4063355922698975,9.286160707473755,6.3849745988845825,78.06134152412415,0,,"Candidate adaptive-rejection-sampler native reward 1, all 9 native tests passed; cleanup completed and resources removed.",42f5a8d7f6072467d25711ada7e9c8b6f12369cdc73c463b7c1ce58425e41082
v9,0018,0018,deepswe-1.1/fd-deterministic-multi-key-sorting,candidate,False,True,,unknown,unknown,{},[],completed,True,,0,0,0,0,0,0,0,0,0,0,,,,95.33731953194365,0.5838568789185956,94.75342370895669,,0.0,0.0,,,,,0,network_start_failure;score_missing,,f0890e2cfafb6c81f24a96219c75bf032ecaa72e02192acb9ce3ad4ae60b4130
v9,0019,0019,deepswe-1.1/fd-deterministic-multi-key-sorting,baseline,False,True,,unknown,unknown,{},[],completed,True,,0,0,0,0,0,0,0,0,0,0,,,,116.0721375560388,4.276139396009967,111.79595407797024,,0.0,0.0,,,,,0,network_start_failure;score_missing,,5933860a827fd40b88bef072f9f66a7cbfc540272f020a8ffaa6b6216ddb709a
v9,0020,0020,terminal-bench-2.1/financial-document-processor,baseline,False,True,0.0,unknown,unknown,{},[],completed,True,True,53,1009516,3739,1013255,0,880576,0,0,53,1013,1660.566,1663.635,57.857488533016294,38.94365818600636,0.8603188280249014,38.083297254983336,,228.85776281356812,160.47774839401245,2.1092121601104736,7.027247428894043,2.963599681854248,11.311237096786499,0,verifier_setup_failure,,7767adddee0b0fc62fdd989eb03f471ef9b424f83b18fe3eda12f437b7eda7a8
v9,0021,0021,terminal-bench-2.1/financial-document-processor,candidate,True,True,1.0,started,started,"{""passed"":7}",[],completed,True,True,39,1651778,5065,1656843,0,1382912,0,0,39,1974,,655.844,3204.4661281270673,4.180066986009479,0.0050981269450858235,4.174925628001802,,338.6042068004608,198.4933934211731,5.171007394790649,10.860111713409424,7.57779860496521,15.688904047012329,0,,"Candidate financial-document native reward 1, all 7 native tests passed; cleanup completed and resources removed.",eeb94d23d92e10305149d3c5ddcea4d94c202c4831f834e5c874d6d158dfede7
v9,0022,0022,terminal-bench-2.1/mailman,candidate,True,True,1.0,started,started,"{""passed"":3}",[],completed,True,True,183,17612370,63960,17676330,0,14629760,0,0,183,29228,,3743.959,583.2170027280226,63.358752702130005,1.9462283389875665,61.41248525807168,,2229.8962953090668,886.354465007782,4.799095392227173,8.258919715881348,9.670077562332153,30.79302978515625,34,,"Candidate mailman native reward 1, all 3 native tests passed; cleanup completed and resources removed.",9e0e9a0704d739b678317b31082d5c7577582abc1ba5b9a723de91100aeb2a4e
v9,0023,0023,terminal-bench-2.1/mailman,baseline,True,True,1.0,started,started,"{""passed"":3}",[],completed,True,True,53,1215503,8326,1223829,0,994240,0,0,53,4417,585.769,586.88,2268.024498175946,19.14787913695909,0.0061590810073539615,19.14168304693885,,414.5310802459717,203.11041378974915,3.2148056030273438,9.281100273132324,5.184113502502441,24.46036458015442,0,,"Baseline mailman native reward 1, all 3 native tests passed; cleanup completed and resources removed.",682d0ddf534b6babe4acbffb33b63143426ff23b27422d37796ecf31f53b911e
v9,0024,0024,local24-repro-v6/mcmc-sampling-stan,baseline,True,True,1.0,started,started,"{""passed"":6}",[],completed,True,True,232,5490216,15549,5505765,0,4095168,0,0,232,5002,2816.871,2824.206,984.6685352770146,16.112150468863547,0.006150316912680864,16.105952591984533,,852.1212675571442,596.1436588764191,2.3709871768951416,6.393748998641968,3.2044650316238403,10.531485080718994,0,,"Baseline Stan native reward 1, all 6 native tests passed; cleanup completed and resources removed.",5d016e7fad8500711dbd508a43f533312c2a306c2e404c499c7d4917e5774595
v9,0025,0025,local24-repro-v6/mcmc-sampling-stan,candidate,True,True,1.0,started,started,"{""passed"":6}",[],completed,True,True,45,2051196,5231,2056427,0,1446464,0,0,45,1235,,1949.93,1415.3371374360286,67.34047754399944,1.9925785589730367,65.34785679902416,,331.83284878730774,238.94907331466675,4.61123251914978,9.520958185195923,6.024297475814819,16.58496880531311,0,,"Candidate Stan native reward 1, all 6 native tests passed; cleanup completed and resources removed.",7521ab31ab7d5a75b2e919e5117c303839873609dd501b2dc2668bacb9f62347
v9,0026,0026,terminal-bench-2.1/large-scale-text-editing,candidate,False,True,0.0,unknown,unknown,{},[],completed,True,True,16,510559,3041,513600,0,483968,0,0,16,1511,,347.705,63.61819077201653,52.3224279951537,0.48295324109494686,51.839430455002,,158.5793936252594,88.18728709220886,5.6794880628585815,9.446720361709595,9.292986392974854,28.653950691223145,0,verifier_setup_failure,,bd866406a804dbfee9705dc6621d07c67283a7dd8cd7058ec38b48ee3fa9556d
v9,0027,0027,terminal-bench-2.1/large-scale-text-editing,baseline,True,True,1.0,started,started,"{""passed"":5}",[],completed,True,True,9,152356,2018,154374,0,106816,0,0,9,1343,136.816,139.968,1490.7602690519998,10.238130379933864,0.005065092002041638,10.233021857915446,,76.03184723854065,27.46816396713257,2.0385029315948486,7.440062522888184,2.9138100147247314,43.7878839969635,0,,,7d602adc2180f2ad36666398ef4aeb8faf1cfcf372e214ebe5257d403cec191b
v9,0028,0028,terminal-bench-2.1/feal-linear-cryptanalysis,baseline,False,True,0.0,started,started,"{""failed"":1}","[""test_outputs.py::test_attack""]",completed,True,True,18,664337,47838,712175,1,548864,1,0,18,19392,1342.872,1369.07,904.2333332049893,44.24242175207473,0.005315111018717289,44.23706408997532,,1340.7240986824036,75.66983985900879,4.424229741096497,9.160815477371216,47.93536424636841,693.245304107666,0,observer_idle_timeout_diagnostic;native_execution_error;functional_test_failures,,111fa273829089bf6cd4300ec376e136f7e5bd2c9f93899d26f09117e16383a0
v9,0029,0029,terminal-bench-2.1/feal-linear-cryptanalysis,candidate,True,True,0.0,started,started,"{""failed"":1}","[""test_outputs.py::test_attack""]",completed,True,True,17,955852,19395,975247,0,817152,0,0,17,14394,,1352.581,1032.7111672189785,83.50470763992053,1.6555564729496837,81.84910542401485,,497.8929269313812,68.4947121143341,4.649455308914185,6.143744230270386,6.15413761138916,314.5007743835449,0,native_execution_error;functional_test_failures,"Candidate FEAL exits with native UnknownError: Agent worker failed to start after 6 consecutive attempts; native execution exit 2 and verifier reward 0 because plaintexts.txt is absent. Exact underlying worker-start cause is unresolved. Retained resource evidence has zero observed OOM events; do not infer OOM, relay timeout, pure model-solving failure, or evaluator whole-cell retries from this error.",e76d2ec74172c52750355a6586bd9bcc446efc10cac1176f12e88f33e107d7dc
v9,0030,0030,terminal-bench-2.1/openssl-selfsigned-cert,candidate,True,True,1.0,started,started,"{""passed"":6}",[],completed,True,True,9,207504,1442,208946,0,197184,0,0,9,71,,256.588,646.0742772070225,58.13174241699744,0.006076051970012486,58.12562473700382,,71.82850432395935,46.639036417007446,4.708725929260254,10.340306043624878,8.243270874023438,19.574512243270874,0,,,2a1c479d534d13db462a23469286586dd1122e73ddbbf6b1b966f57e9f30d427
v9,0031,0031,terminal-bench-2.1/openssl-selfsigned-cert,baseline,True,True,1.0,started,started,"{""passed"":6}",[],completed,True,True,11,186105,1005,187110,0,178176,0,0,11,9,108.773,112.137,710.704747744021,74.16781162796542,1.267827491974458,72.89994202996604,,59.16416883468628,44.85103917121887,2.0959696769714355,10.272011756896973,3.370349645614624,12.77410888671875,0,,,25c7d01319a684993a4ab9b3fd4bc3ba549552bb469a21f99ffe20df90cbf3c5
v9,0032,0032,deepswe-1.1/valibot-recursive-schema-composition,baseline,False,True,0.0,started,started,"{""passed"":209,""failed"":10}","[""[f2p] [gate] new tsc --noEmit"",""[f2p] src/methods/recursive/recursive.test.ts: recursive > should be exposed from the package root"",""[f2p] src/methods/recursive/recursive.test.ts: recursive > should parse a recursively transformed tree"",""[f2p] src/methods/recursive/recursive.test.ts: recursive > should parse recursive maps and sets"",""[f2p] src/methods/recursive/recursive.test.ts: recursive > should parse recursive records"",""[f2p] src/methods/recursive/recursive.test.ts: recursive > should preserve recursive composition through intersect"",""[f2p] src/methods/recursive/recursiveAsync.test.ts: recursiveAsync > should be exposed from the package root"",""[f2p] src/methods/recursive/recursiveAsync.test.ts: recursiveAsync > should parse a recursively transformed tree"",""[f2p] src/methods/recursive/recursiveAsync.test.ts: recursiveAsync > should parse recursive records, maps, and sets"",""[f2p] src/methods/recursive/recursiveAsync.test.ts: recursiveAsync > should preserve recursive composition through intersectAsync""]",completed,True,True,127,8242396,177743,8420139,0,6220160,0,0,127,131733,5127.883,5143.254,13.856752150924876,76.97153209708631,0.01849514991044998,76.9360850630328,0.016907509067095816,4777.80263543129,559.2345519065857,4.987813949584961,10.034473180770874,9.566545248031616,171.09921288490295,0,observer_idle_timeout_diagnostic;native_execution_error;functional_test_failures,"Baseline Valibot native APIError/ECONNRESET and exact Bun.serve 10-second request-timeout diagnostic. Native reward 0; retained model.patch is empty, 209 P2P pass and all 10 F2P fail. This has confirmed evaluator-observer interference; do not label pure solving failure. Cleanup completed and resources removed.",3c38238a95f851280e34e5d1382b0e446e1e9c5318e98f8c8db927f3ffd3a2c0
