task,side,batch,cell,source_commit,evaluator_commit,terminal,native_reward,functional_tests,reported_tests_passed,reported_tests_failed,missing_result_placeholders,actual_test_review,requests,input_tokens,output_tokens,total_tokens,cache_read_tokens,cache_write_tokens,reasoning_tokens,uncached_input_tokens,solve_seconds,native_execution_seconds,verifier_seconds,queue_seconds,stage_queues_seconds,observed_oom_events,recording,native_recording,archive_readable,archive_receipt_present,recorded_evidence_valid,resource_observation_error_count,failure_reason
deepswe-1.1/mobly-grouped-test-barriers,baseline,v11,0001,024dd683e091d9fce3d1d26b79b2e188ce636b52,9f85c576e5335077f7c54b19b125fd5ef0d4bdc9,True,1.0,started,887,0,,,115,6616174,56538,6672712,5312128,,23907,1304046,1502.147,1500.713,7.563872396014631,14.96250312763732,"{""agent"": 14.767670206958428, ""preparation"": 0.1207721137907356, ""verifier"": 0.0739041349152103}",0,,,True,,,,
deepswe-1.1/mobly-grouped-test-barriers,candidate,local24_candidate_20260924,0005,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,887,0,0,"{""graded_failed"": 0, ""graded_passed"": 887, ""graded_total"": 887, ""started"": true}",94,7312918,41701,7354619,6603776,,18577,709142,1543.359,1537.346,12.291512818999763,474.76883610899677,"{""agent"": 407.7382604589984, ""preparation"": 66.93437864999942, ""verifier"": 0.09604481600035797}",0,partial,partial,True,True,True,0,
deepswe-1.1/sqlfmt-create-table-ddl-formatting,baseline,v10,0006,024dd683e091d9fce3d1d26b79b2e188ce636b52,96bf64268044fe96db8659067f6900c51ee37967,True,0.0,started,1298,7,,,175,12397983,65996,12463979,10702848,,44508,1695135,2743.675,2742.004,39.879642441053875,10.759645982994698,"{""agent"": 9.874376058927737, ""preparation"": 0.8072529330383986, ""verifier"": 0.07796666503418237}",0,,,True,,,,
deepswe-1.1/sqlfmt-create-table-ddl-formatting,candidate,local24_candidate_20260924,0006,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,0.0,started,1296,9,8,"{""actual_failed_assertions"": 1, ""graded_failed"": 9, ""graded_passed"": 1296, ""graded_total"": 1305, ""missing_grade_identities"": 8, ""raw_base_cases"": 1256, ""raw_new_cases"": 79, ""started"": true}",98,9647378,50829,9698207,8898176,,31802,749202,2129.535,2123.116,46.0650233990018,38.075385546995676,"{""agent"": 3.6847481109980436, ""preparation"": 34.321011561994965, ""verifier"": 0.06950739000239992}",0,partial,partial,True,True,True,3,native_reward_0
terminal-bench-2.1/compile-compcert,baseline,v9,0015,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,started,3,0,,,113,2308484,7256,2315740,1799168,,2256,509316,2906.559,2905.189,993.1116792890243,33.10301433701534,"{""agent"": 32.06347264396027, ""preparation"": 1.039499438018538}",8,,,True,,,,
terminal-bench-2.1/compile-compcert,candidate,local24_candidate_20260924,0007,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,3,0,0,"{""failed"": 0, ""passed"": 3, ""started"": true, ""suite_seconds"": 0.13}",53,2129732,11971,2141703,1616000,,6928,513732,2263.041,2259.217,37.84230191899769,0.07999276299960911,"{""agent"": 0.07395240500045475, ""preparation"": 0.005930248997174203}",0,complete,complete,True,True,True,1,
terminal-bench-2.1/adaptive-rejection-sampler,baseline,v11,0002,024dd683e091d9fce3d1d26b79b2e188ce636b52,9f85c576e5335077f7c54b19b125fd5ef0d4bdc9,True,0.0,started,8,1,,,117,3657347,35744,3693091,2463296,,23354,1194051,1401.863,1400.704,67.4093168489635,5.749965643044561,"{""agent"": 5.74474298604764, ""preparation"": 0.005031011998653412}",0,,,True,,,,
terminal-bench-2.1/adaptive-rejection-sampler,candidate,local24_candidate_20260924,0008,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,0.0,started,8,1,0,"{""failed"": 1, ""passed"": 8, ""started"": true, ""suite_seconds"": 3.12}",30,1209441,12691,1222132,994112,,3571,215329,746.275,740.207,78.81613808900147,659.5336746829998,"{""agent"": 587.803781923998, ""preparation"": 71.72976525700142}",0,complete,complete,True,True,True,1,native_reward_0
deepswe-1.1/fd-deterministic-multi-key-sorting,baseline,v10,0009,024dd683e091d9fce3d1d26b79b2e188ce636b52,96bf64268044fe96db8659067f6900c51ee37967,True,0.0,started,151,1,,,177,8370340,57747,8428087,6586048,,23271,1784292,2322.67,2318.71,19.831105832010508,23.572347526904196,"{""agent"": 22.69419324991759, ""preparation"": 0.8027040810557082, ""verifier"": 0.07539801392704248}",0,,,True,,,,
deepswe-1.1/fd-deterministic-multi-key-sorting,candidate,local24_candidate_20260924,0009,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,0.0,started,151,1,0,"{""graded_failed"": 1, ""graded_passed"": 151, ""graded_total"": 152, ""started"": true}",91,5512267,18094,5530361,5281152,,6550,231115,1039.644,1034.929,25.361313589997735,17.514824245990894,"{""agent"": 3.1351263350006775, ""preparation"": 14.273779804992955, ""verifier"": 0.10576809199847048}",0,partial,partial,True,True,True,2,native_reward_0
terminal-bench-2.1/financial-document-processor,baseline,v11,0003,024dd683e091d9fce3d1d26b79b2e188ce636b52,9f85c576e5335077f7c54b19b125fd5ef0d4bdc9,True,0.0,started,3,4,,,141,3036731,10447,3047178,2263360,,3961,773371,763.944,763.295,183.86217440490145,3.4317017450230196,"{""agent"": 3.425507920095697, ""preparation"": 0.00601328001357615}",0,,,True,,,,
terminal-bench-2.1/financial-document-processor,candidate,local24_candidate_20260924,0010,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,7,0,0,"{""failed"": 0, ""passed"": 7, ""started"": true, ""suite_seconds"": 2.05}",18,565967,4005,569972,457088,,1689,108879,528.849,521.804,69.93041978900146,31.93587335900156,"{""agent"": 4.626821538000513, ""preparation"": 27.308904457000608}",0,complete,complete,True,True,True,0,
terminal-bench-2.1/mailman,baseline,v9,0023,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,started,3,0,,,53,1215503,8326,1223829,994240,,4417,221263,586.88,585.769,2268.024498175946,19.14787913695909,"{""agent"": 19.14168304693885, ""preparation"": 0.0061590810073539615}",0,,,True,,,,
terminal-bench-2.1/mailman,candidate,local24_candidate_20260924,0011,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,3,0,0,"{""failed"": 0, ""passed"": 3, ""started"": true, ""suite_seconds"": 21.46}",49,2358563,19062,2377625,1696768,,10710,661795,1155.748,1150.655,62.979101936001825,4.887142022002081,"{""agent"": 4.881005597999319, ""preparation"": 0.005997741001920076}",0,complete,complete,True,True,True,0,
local24-repro-v6/mcmc-sampling-stan,baseline,v9,0024,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,started,6,0,,,232,5490216,15549,5505765,4095168,,5002,1395048,2824.206,2816.871,984.6685352770146,16.112150468863547,"{""agent"": 16.105952591984533, ""preparation"": 0.006150316912680864}",0,,,True,,,,
local24-repro-v6/mcmc-sampling-stan,candidate,local24_candidate_20260924,0012,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,6,0,0,"{""failed"": 0, ""passed"": 6, ""started"": true, ""suite_seconds"": 243.79}",20,614093,2646,616739,511680,,292,102413,814.327,808.899,290.6034472950014,27.466664979005145,"{""agent"": 6.956584055002168, ""preparation"": 20.509939701001713}",0,complete,complete,True,True,True,0,
terminal-bench-2.1/large-scale-text-editing,baseline,v9,0027,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,started,5,0,,,9,152356,2018,154374,106816,,1343,45540,139.968,136.816,1490.7602690519998,10.238130379933864,"{""agent"": 10.233021857915446, ""preparation"": 0.005065092002041638}",0,,,True,,,,
terminal-bench-2.1/large-scale-text-editing,candidate,local24_candidate_20260924,0013,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,5,0,0,"{""failed"": 0, ""passed"": 5, ""started"": true, ""suite_seconds"": 46.77}",11,280486,5222,285708,148288,,4139,132198,271.983,267.153,122.17749375100175,2.9343825340001786,"{""agent"": 2.9281982309985324, ""preparation"": 0.006065882000257261}",0,complete,complete,True,True,True,0,
terminal-bench-2.1/feal-linear-cryptanalysis,baseline,v11,0005,024dd683e091d9fce3d1d26b79b2e188ce636b52,9f85c576e5335077f7c54b19b125fd5ef0d4bdc9,True,1.0,started,1,0,,,43,1887726,57112,1944838,1375360,,44224,512366,1647.572,1646.176,19.009527788031846,12.70807412196882,"{""agent"": 12.701846127980389, ""preparation"": 0.006103520048782229}",0,,,True,,,,
terminal-bench-2.1/feal-linear-cryptanalysis,candidate,local24_candidate_20260924,0014,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,1,0,0,"{""failed"": 0, ""passed"": 1, ""started"": true, ""suite_seconds"": 0.01}",40,3290491,70377,3360868,2172416,,52625,1118075,1918.535,1909.657,25.108227245000307,42.225842343992554,"{""agent"": 5.192382205998001, ""preparation"": 37.03334318799534}",0,complete,complete,True,True,True,1,
terminal-bench-2.1/openssl-selfsigned-cert,baseline,v9,0031,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,started,6,0,,,11,186105,1005,187110,178176,,9,7929,112.137,108.773,710.704747744021,74.16781162796542,"{""agent"": 72.89994202996604, ""preparation"": 1.267827491974458}",0,,,True,,,,
terminal-bench-2.1/openssl-selfsigned-cert,candidate,local24_candidate_20260924,0015,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,6,0,0,"{""failed"": 0, ""passed"": 6, ""started"": true, ""suite_seconds"": 0.28}",10,223143,2020,225163,210240,,74,12903,168.971,162.17,78.21394535000218,34.977252458000294,"{""agent"": 3.978454584001156, ""preparation"": 30.99868393399811}",0,complete,complete,True,True,True,0,
deepswe-1.1/valibot-recursive-schema-composition,baseline,v11,0006,024dd683e091d9fce3d1d26b79b2e188ce636b52,9f85c576e5335077f7c54b19b125fd5ef0d4bdc9,True,0.0,started,212,7,,,185,10775277,83181,10858458,10012544,,54580,762733,2937.228,2936.453,15.773034511017613,9.818038910161704,"{""agent"": 9.710589830996469, ""preparation"": 0.01928001712076366, ""verifier"": 0.08797830401454121}",0,,,True,,,,
deepswe-1.1/valibot-recursive-schema-composition,candidate,local24_candidate_20260924,0016,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,219,0,0,"{""graded_failed"": 0, ""graded_passed"": 219, ""graded_total"": 219, ""started"": true}",106,9264141,49077,9313218,8543680,,27319,720461,2363.671,2358.911,17.64056903600067,20.548913596001512,"{""agent"": 6.3963909649974084, ""preparation"": 14.09654171800139, ""verifier"": 0.05584016800276004}",0,complete,complete,True,True,True,1,
local24-repro-v6/build-cython-ext,baseline,v9,0035,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,started,11,0,,,81,1822403,8598,1831001,1530752,,2379,291651,557.44,556.211,59.10284690000117,48.68837766512297,"{""agent"": 48.682382400962524, ""preparation"": 0.0059494770830497146}",0,,,True,,,,
local24-repro-v6/build-cython-ext,candidate,local24_candidate_20260924,0017,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,11,0,0,"{""failed"": 0, ""passed"": 11, ""started"": true, ""suite_seconds"": 7.71}",26,912212,4809,917021,811712,,1034,100500,392.523,384.963,9.738733781003248,44.54117389899693,"{""agent"": 4.054611119001493, ""preparation"": 40.486442667996016}",0,complete,complete,True,True,True,0,
deepswe-1.1/katex-multicolumn-array-spans,baseline,v10,0011,024dd683e091d9fce3d1d26b79b2e188ce636b52,96bf64268044fe96db8659067f6900c51ee37967,True,1.0,started,693,0,,,205,17053773,58813,17112586,13746368,,38996,3307405,2854.304,2851.767,7.1815212439978495,39.41028200893197,"{""agent"": 38.144597367965616, ""preparation"": 1.2087165389675647, ""verifier"": 0.056911441963166}",0,,,True,,,,
deepswe-1.1/katex-multicolumn-array-spans,candidate,local24_candidate_20260924,0018,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,0.0,started,687,6,0,"{""actual_failed_assertions"": 6, ""graded_failed"": 6, ""graded_passed"": 687, ""graded_total"": 693, ""started"": true}",138,13074712,39074,13113786,12537472,,23920,537240,2101.209,2094.778,19.279242276999867,62.74138581299485,"{""agent"": 6.330571958998917, ""preparation"": 55.247766721993685, ""verifier"": 1.1629168190011114}",0,complete,complete,True,True,True,0,native_reward_0
terminal-bench-2.1/path-tracing-reverse,baseline,v9,0039,024dd683e091d9fce3d1d26b79b2e188ce636b52,9783be0ab64d1d65b59b3c8c04c35283266f007f,True,1.0,started,3,0,,,123,11844480,290694,12135174,8971904,,266031,2872576,7453.031,7451.358,85.83292080706451,68.51669279392809,"{""agent"": 68.51172083197162, ""preparation"": 0.004929009010083973}",0,,,True,,,,
terminal-bench-2.1/path-tracing-reverse,candidate,local24_candidate_20260924,0019,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,3,0,0,"{""failed"": 0, ""passed"": 3, ""started"": true, ""suite_seconds"": 1.49}",50,7104746,249810,7354556,5673344,,239636,1431402,6522.953,6511.187,49.008660735002195,49.20053881799686,"{""agent"": 4.463813574999222, ""preparation"": 44.7366118539976}",0,,partial,True,False,False,2,archive_invalid;archive_missing;export_failed
deepswe-1.1/dasel-html-document-format,baseline,v10,0013,024dd683e091d9fce3d1d26b79b2e188ce636b52,96bf64268044fe96db8659067f6900c51ee37967,True,1.0,started,1158,0,,,144,6964865,31655,6996520,5740096,,6789,1224769,1311.181,1308.8,727.6199420969933,784.5870060290908,"{""agent"": 113.2635916150175, ""preparation"": 1.5146071841008961, ""verifier"": 669.808733786922}",0,,,True,,,,
deepswe-1.1/dasel-html-document-format,candidate,local24_candidate_20260924,0020,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,1158,0,0,"{""graded_failed"": 0, ""graded_passed"": 1158, ""graded_total"": 1158, ""started"": true}",74,3980001,25193,4005194,3700800,,5766,279201,945.879,941.474,41.63786350599912,11.53589284800546,"{""agent"": 9.852961382002832, ""preparation"": 0.017835267004556954, ""verifier"": 1.6649578949982242}",0,complete,complete,True,True,True,0,
deepswe-1.1/kcp-go-multiplexed-kcp-streams,baseline,v10,0016,024dd683e091d9fce3d1d26b79b2e188ce636b52,96bf64268044fe96db8659067f6900c51ee37967,True,1.0,started,42,0,,,103,6133021,22433,6155454,4468544,,4530,1664477,1313.236,1310.423,32.38164742907975,1454.493574236054,"{""agent"": 1452.0030559620354, ""preparation"": 2.4320816709659994, ""verifier"": 0.058383263065479696}",0,,,True,,,,
deepswe-1.1/kcp-go-multiplexed-kcp-streams,candidate,local24_candidate_20260924,0021,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,0.0,started,14,28,28,"{""graded_failed"": 28, ""graded_passed"": 14, ""graded_total"": 42, ""missing_result_placeholders"": 28, ""native_test_program_timeout_seconds"": 180, ""running_test_at_timeout"": ""TestMuxPriorityPreemption"", ""started"": true}",110,8027431,47908,8075339,6859264,,25872,1168167,2646.093,2640.103,202.5543869590001,57.384136841996224,"{""agent"": 5.950979674998962, ""preparation"": 51.36036504599906, ""verifier"": 0.07262292299856199}",0,complete,complete,True,True,True,0,native_reward_0
deepswe-1.1/boa-hierarchical-evaluation-cancellation,baseline,v10,0017,024dd683e091d9fce3d1d26b79b2e188ce636b52,96bf64268044fe96db8659067f6900c51ee37967,True,0.0,not_started,0,24,,"{""executed_tests"": 0, ""missing_report_entries"": 24, ""reason"": ""Both raw suite logs fail cargo metadata during dependency download; all final CTRF entries explicitly say missing from report. Native reward and frozen grading remain unchanged."", ""status"": ""not_started""}",220,23000354,60497,23060851,18434240,,26681,4566114,3012.901,3011.617,27.007611594046466,13.607382348855026,"{""agent"": 13.375631047063507, ""preparation"": 0.16969322285149246, ""verifier"": 0.06201079592574388}",0,,,True,,,,
deepswe-1.1/boa-hierarchical-evaluation-cancellation,candidate,local24_candidate_20260924,0022,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,1.0,started,24,0,0,"{""failed"": 0, ""graded_total"": 24, ""passed"": 24, ""started"": true}",144,11357812,40038,11397850,10084096,,19091,1273716,2203.582,2197.89,179.96366512500026,306.50701499899515,"{""agent"": 246.0522843510007, ""preparation"": 60.38983522399576, ""verifier"": 0.06475670399959199}",0,partial,partial,True,True,True,0,
deepswe-1.1/kgateway-consistent-hash-policy,baseline,v10,0020,024dd683e091d9fce3d1d26b79b2e188ce636b52,96bf64268044fe96db8659067f6900c51ee37967,True,0.0,started,214,2,,,117,8196244,24045,8220289,7080512,,6654,1115732,1567.002,1564.796,321.480020100018,670.5066534169018,"{""agent"": 668.5038176279049, ""preparation"": 1.9139963849447668, ""verifier"": 0.08878821705002338}",0,,,True,,,,
deepswe-1.1/kgateway-consistent-hash-policy,candidate,local24_candidate_20260924,0023,5b337cb34a92503cb6c898b47dc09297ef6f834a,5b337cb34a92503cb6c898b47dc09297ef6f834a,True,0.0,started,214,2,0,"{""graded_failed"": 2, ""graded_passed"": 214, ""graded_total"": 216, ""related_parent_child_failure"": true, ""started"": true}",93,6961194,35399,6996593,6254912,,13278,706282,1978.324,1971.189,260.32613187899915,51.756891467997775,"{""agent"": 3.6851829170009296, ""preparation"": 47.977630959001544, ""verifier"": 0.0939567299974442}",0,partial,partial,True,True,True,1,native_reward_0
